SUMLEV,REGION,DIVISION,STATE,NAME,POPESTIMATE2014,POPEST18PLUS2014,PCNT_POPEST18PLUS
010,0,0,00,United States,318857056,245273438,76.9
040,3,6,01,Alabama,4849377,3741806,77.2
040,4,9,02,Alaska,736732,550189,74.7
040,4,8,04,Arizona,6731484,5109792,75.9
040,3,7,05,Arkansas,2966369,2259350,76.2
040,4,9,06,California,38802500,29649348,76.4
040,4,8,08,Colorado,5355866,4109494,76.7
040,1,1,09,Connecticut,3596677,2821247,78.4
040,3,5,10,Delaware,935614,731367,78.2
040,3,5,11,District of Columbia,658893,543588,82.5
040,3,5,12,Florida,19893297,15839713,79.6
040,3,5,13,Georgia,10097343,7604061,75.3
040,4,9,15,Hawaii,1419561,1111117,78.3
040,4,8,16,Idaho,1634464,1203384,73.6
040,2,3,17,Illinois,12880580,9892106,76.8
040,2,3,18,Indiana,6596855,5014928,76
040,2,4,19,Iowa,3107126,2381172,76.6
040,2,4,20,Kansas,2904021,2181355,75.1
040,3,6,21,Kentucky,4413457,3400843,77.1
040,3,7,22,Louisiana,4649676,3536183,76.1
040,1,1,23,Maine,1330089,1071112,80.5
040,3,5,24,Maryland,5976407,4625863,77.4
040,1,1,25,Massachusetts,6745408,5354940,79.4
040,2,3,26,Michigan,9909877,7686087,77.6
040,2,4,27,Minnesota,5457173,4175347,76.5
040,3,6,28,Mississippi,2994079,2262810,75.6
040,2,4,29,Missouri,6063589,4670966,77
040,4,8,30,Montana,1023579,798555,78
040,2,4,31,Nebraska,1881503,1414894,75.2
040,4,8,32,Nevada,2839099,2175874,76.6
040,1,1,33,New Hampshire,1326813,1059672,79.9
040,1,2,34,New Jersey,8938175,6926094,77.5
040,4,8,35,New Mexico,2085572,1583623,75.9
040,1,2,36,New York,19746227,15517321,78.6
040,3,5,37,North Carolina,9943964,7656415,77
040,2,4,38,North Dakota,739482,570955,77.2
040,2,3,39,Ohio,11594163,8955859,77.2
040,3,7,40,Oklahoma,3878051,2925352,75.4
040,4,9,41,Oregon,3970239,3112217,78.4
040,1,2,42,Pennsylvania,12787209,10086316,78.9
040,1,1,44,Rhode Island,1055173,842321,79.8
040,3,5,45,South Carolina,4832482,3747734,77.6
040,2,4,46,South Dakota,853175,642768,75.3
040,3,6,47,Tennessee,6549352,5054826,77.2
040,3,7,48,Texas,26956958,19841344,73.6
040,4,8,49,Utah,2942902,2038787,69.3
040,1,1,50,Vermont,626562,504976,80.6
040,3,5,51,Virginia,8326289,6457174,77.6
040,4,9,53,Washington,7061530,5458809,77.3
040,3,5,54,West Virginia,1850326,1470179,79.5
040,2,3,55,Wisconsin,5757564,4457375,77.4
040,4,8,56,Wyoming,584153,445830,76.3
040,X,X,72,Puerto Rico Commonwealth,3548397,2775645,78.2
